File created on 2022-11-02T10:49:43.236186
#COOR
GSM


#START
2021 12 03 00 00 00 000       -2.93      -1.88       0.63    -474.30       4.74       9.14       3.03  207613.00
2021 12 03 00 01 00 000       -3.06      -1.65       1.14    -474.30       4.74       9.14       3.03  207613.00
2021 12 03 00 02 00 000       -3.11      -1.59       1.13    -473.95       5.05       9.22       3.04  205550.73
2021 12 03 00 03 00 000       -3.16      -1.50       1.10    -473.61       5.35       9.30       3.04  203488.47
2021 12 03 00 04 00 000       -3.20      -1.43       1.08    -473.26       5.66       9.38       3.05  201426.20
2021 12 03 00 05 00 000       -3.24      -1.36       1.06    -472.91       5.97       9.46       3.05  199363.93
2021 12 03 00 06 00 000       -3.20      -1.54       1.05    -472.57       6.27       9.54       3.06  197301.67
2021 12 03 00 07 00 000       -3.26      -1.32       1.09    -472.22       6.58       9.62       3.07  195239.40
2021 12 03 00 08 00 000       -3.32      -1.10       1.12    -471.87       6.89       9.70       3.07  193177.13
2021 12 03 00 09 00 000       -3.38      -0.88       1.16    -471.53       7.19       9.78       3.08  191114.87
2021 12 03 00 10 00 000       -3.43      -0.87       1.00    -471.18       7.50       9.86       3.08  189052.60
2021 12 03 00 11 00 000       -3.48      -0.87       0.84    -470.83       7.81       9.94       3.09  186990.33
2021 12 03 00 12 00 000       -3.46      -0.98       0.81    -470.49       8.11      10.02       3.10  184928.07
2021 12 03 00 13 00 000       -3.44      -1.08       0.79    -470.14       8.42      10.10       3.10  182865.80
2021 12 03 00 14 00 000       -3.42      -1.19       0.76    -469.79       8.73      10.18       3.11  180803.53
2021 12 03 00 15 00 000       -3.49      -0.94       0.84    -469.45       9.04      10.26       3.11  178741.27
2021 12 03 00 16 00 000       -3.48      -0.79       0.91    -469.10       9.34      10.34       3.12  176679.00
2021 12 03 00 17 00 000       -3.51      -0.66       0.84    -469.10       9.35      10.34       3.12  176679.00
2021 12 03 00 18 00 000       -3.51      -0.75       0.69    -469.68      10.94      14.75       3.08  182013.25
2021 12 03 00 19 00 000       -3.17      -1.32       0.84    -470.25      12.54      19.16       3.04  187347.50
2021 12 03 00 20 00 000       -3.41      -1.11       0.46    -470.83      14.14      23.57       2.99  192681.75
2021 12 03 00 21 00 000       -3.44      -1.06       0.39    -471.40      15.74      27.98       2.95  198016.00
2021 12 03 00 22 00 000       -3.44      -1.07       0.48    -471.40      15.75      27.98       2.95  198016.00
2021 12 03 00 23 00 000       -3.18      -1.43       0.81    -470.10      10.88      22.46       2.91  195082.00
2021 12 03 00 24 00 000       -2.95      -2.06       0.58    -469.70       9.43      20.82       2.91  194227.00
2021 12 03 00 25 00 000       -3.00      -2.24       0.37    -468.50       3.89      18.19       2.87  179436.00
2021 12 03 00 26 00 000       -2.32      -2.91       0.21    -468.60       6.46      15.45       2.84  174337.00
2021 12 03 00 27 00 000       -2.08      -2.92       0.20    -473.60       9.48       9.91       2.84  144243.00
2021 12 03 00 28 00 000       -2.43      -2.63       0.60    -478.80       9.34       7.50       2.88  118035.00
2021 12 03 00 29 00 000       -2.02      -3.28       0.25    -476.25      13.42       8.59       2.94  134703.00
2021 12 03 00 30 00 000       -2.82      -2.45       0.56    -473.70      17.50       9.67       2.99  151371.00
2021 12 03 00 31 00 000       -2.66      -2.73       0.41    -473.70      17.50       9.67       2.99  151371.00
2021 12 03 00 32 00 000       -2.24      -3.21       0.14    -469.30      16.06       2.33       3.07  153802.00
2021 12 03 00 33 00 000       -2.07      -3.31       0.24    -469.30      16.06       2.32       3.07  153802.00
2021 12 03 00 34 00 000       -2.45      -2.70       0.51    -470.60      12.02       4.11       3.02  159717.75
2021 12 03 00 35 00 000       -2.04      -3.17       0.62    -471.90       7.99       5.91       2.97  165633.50
2021 12 03 00 36 00 000       -2.33      -2.75       0.68    -473.20       3.95       7.70       2.92  171549.25
2021 12 03 00 37 00 000       -2.34      -2.84       0.54    -474.50      -0.08       9.50       2.87  177465.00
2021 12 03 00 38 00 000       -2.27      -2.87       0.52    -474.50      -0.08       9.50       2.87  177465.00
2021 12 03 00 39 00 000       -2.64      -2.46       0.76    -472.80      11.13       9.50       3.10  142625.00
2021 12 03 00 40 00 000       -2.85      -1.92       1.24    -471.70       7.63       3.94       3.14  153724.00
2021 12 03 00 41 00 000       -2.94      -1.89       1.18    -467.60       7.71      10.84       3.09  171865.00
2021 12 03 00 42 00 000       -2.98      -1.88       1.13    -465.20      10.40      11.88       3.13  184222.00
2021 12 03 00 43 00 000       -2.58      -1.75       1.46    -472.40       1.06       8.32       3.03  153314.00
2021 12 03 00 44 00 000       -2.46      -1.70       1.76    -472.40       1.59       6.93       3.10  168174.00
2021 12 03 00 45 00 000       -2.20      -1.12       2.33    -477.40       3.40       6.46       3.00  144179.00
2021 12 03 00 46 00 000       -2.45      -1.91       1.22    -476.20      -6.40      -0.20       3.06  150469.00
2021 12 03 00 47 00 000       -2.61      -2.62       0.39    -474.37       0.23       4.34       3.02  156087.67
2021 12 03 00 48 00 000       -2.89      -2.14       0.37    -472.53       6.87       8.87       2.99  161706.33
2021 12 03 00 49 00 000       -2.74      -2.51       0.44    -470.70      13.51      13.40       2.95  167325.00
2021 12 03 00 50 00 000       -2.85      -2.41       0.52    -473.20       8.45      10.82       2.95  178761.00
2021 12 03 00 51 00 000       -2.61      -2.53       0.48    -475.30       4.28       8.66       2.95  188105.00
2021 12 03 00 52 00 000       -2.69      -2.51       0.58    -475.10      10.00      11.29       3.15  174376.50
2021 12 03 00 53 00 000       -2.63      -2.32       0.54    -474.90      15.72      13.91       3.34  160648.00
2021 12 03 00 54 00 000       -2.63      -2.32       0.54    -474.90      15.72      13.90       3.34  160648.00
2021 12 03 00 55 00 000       -3.28      -1.33       1.25    -474.30      14.94      12.99       3.33  159068.00
2021 12 03 00 56 00 000       -3.24      -0.65       1.51    -459.40      -4.29      -9.45       3.07  121047.00
2021 12 03 00 57 00 000       -3.27      -0.12       1.56    -459.40      -4.29      -9.45       3.07  121047.00
2021 12 03 00 58 00 000       -3.24      -0.11       1.50    -459.67      -8.64      -8.70       3.14  123500.67
2021 12 03 00 59 00 000       -3.10      -0.11       1.67    -459.93     -12.98      -7.94       3.20  125954.33
2021 12 03 01 00 00 000       -2.96      -1.18       1.96    -460.20     -17.33      -7.18       3.27  128408.00
2021 12 03 01 01 00 000       -2.97      -1.30       1.94    -460.20     -17.33      -7.17       3.27  128408.00
2021 12 03 01 02 00 000       -3.03      -1.03       2.03    -461.07     -13.84     -11.11       3.23  125176.75
2021 12 03 01 03 00 000       -3.09      -0.75       2.13    -461.95     -10.36     -15.05       3.19  121945.50
2021 12 03 01 04 00 000       -3.08      -0.49       2.24    -462.82      -6.89     -18.99       3.14  118714.25
2021 12 03 01 05 00 000       -2.89      -0.11       2.46    -463.70      -3.41     -22.93       3.10  115483.00
2021 12 03 01 06 00 000       -2.89      -0.11       2.46    -463.70      -3.42     -22.93       3.10  115483.00
2021 12 03 01 07 00 000       -2.82      -0.81       2.42    -463.70      -3.43     -22.93       3.10  115483.00
2021 12 03 01 08 00 000       -2.75      -0.84       2.40    -464.13      -2.99     -21.10       3.08  120571.83
2021 12 03 01 09 00 000       -2.68      -0.87       2.39    -464.57      -2.54     -19.27       3.06  125660.67
2021 12 03 01 10 00 000       -2.77      -0.87       2.38    -465.00      -2.09     -17.44       3.05  130749.50
2021 12 03 01 11 00 000       -2.86      -0.87       2.36    -465.43      -1.64     -15.61       3.03  135838.33
2021 12 03 01 12 00 000       -2.89      -0.88       2.33    -465.87      -1.19     -13.78       3.01  140927.17
2021 12 03 01 13 00 000       -2.93      -0.90       2.30    -466.30      -0.74     -11.95       2.99  146016.00
2021 12 03 01 14 00 000       -2.93      -0.91       2.29    -466.73      -0.29     -10.13       2.97  151104.83
2021 12 03 01 15 00 000       -2.93      -0.92       2.28    -467.17       0.17      -8.30       2.95  156193.67
2021 12 03 01 16 00 000       -2.93      -0.92       2.26    -467.60       0.62      -6.47       2.93  161282.50
2021 12 03 01 17 00 000       -2.93      -0.92       2.24    -468.03       1.08      -4.65       2.92  166371.33
2021 12 03 01 18 00 000       -2.92      -0.91       2.28    -468.47       1.54      -2.82       2.90  171460.17
2021 12 03 01 19 00 000       -2.91      -0.90       2.33    -468.90       2.00      -1.00       2.88  176549.00
2021 12 03 01 20 00 000       -2.88      -0.91       2.35    -468.90       2.00      -1.00       2.88  176549.00
2021 12 03 01 21 00 000       -2.85      -0.92       2.37    -468.65       1.57      -0.86       2.88  176413.08
