omni_ideal.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2024  5 13  0  0  0   0   -3.94    4.70    2.17   805.20   -15.70     7.20     9.65      96938.0
 2024  5 13  0  1  0   0   -5.27    4.53    3.25   807.00   -11.70     4.60     9.03      77667.0
 2024  5 13  0  2  0   0   -6.14    4.79    2.08   802.90    -3.20    -2.30     8.01      81509.0
 2024  5 13  0  3  0   0   -6.64    2.51    4.70   802.40    -3.00     4.00     8.03      85418.0
 2024  5 13  0  4  0   0   -5.60    6.21    2.28   817.90     1.80    12.10     7.91      55215.0
 2024  5 13  0  5  0   0   -6.36    4.68    3.50   819.10     1.20    11.90     7.39      57011.0
 2024  5 13  0  6  0   0   -6.62    4.29    3.69   823.30    -0.10    10.00     6.06      59394.0
 2024  5 13  0  7  0   0   -6.36    4.86    3.31   822.20     0.30    13.30     6.09      56385.0
 2024  5 13  0  8  0   0   -6.21    5.12    3.27   822.20    -3.70    15.10     6.46      63002.0
 2024  5 13  0  9  0   0   -5.92    5.57    2.69   822.80    -4.30    14.10     6.43      66704.0
 2024  5 13  0 10  0   0   -7.07    4.46    1.96   827.50    -9.00     5.50     6.18      97430.0
 2024  5 13  0 11  0   0   -5.38    4.35    4.87   827.50    -9.00     5.50     6.18      97430.0
 2024  5 13  0 13  0   0   -5.36    5.68    3.74   820.00   -10.60     9.40     6.43      64297.0
 2024  5 13  0 14  0   0   -5.59    5.42    3.77   820.00   -10.60     9.40     6.43      64297.0
 2024  5 13  0 16  0   0   -4.72    6.54    3.30   820.60   -10.10    13.50     7.09      63589.0
 2024  5 13  0 17  0   0   -4.61    6.50    3.27   820.60   -10.10    13.50     7.09      63589.0
 2024  5 13  0 19  0   0   -5.16    5.94    3.60   816.00    -5.00    13.40     6.97      63119.0
 2024  5 13  0 20  0   0   -5.46    5.59    3.80   815.80    -5.00    13.10     6.96      63018.0
 2024  5 13  0 21  0   0   -5.32    5.67    3.41   811.80    -6.30     5.50     6.66      60503.0
 2024  5 13  0 22  0   0   -6.22    4.37    3.53   811.80    -6.30     5.50     6.66      60489.0
 2024  5 13  0 23  0   0   -5.61    4.31    3.68   806.30    -7.20     2.00     8.93      89072.0
 2024  5 13  0 24  0   0   -5.55    4.71    3.21   806.30    -7.20     2.00     8.93      89072.0
 2024  5 13  0 25  0   0   -5.77    4.98    2.36   806.30    -7.20     2.00     8.93      89072.0
 2024  5 13  0 27  0   0   -6.00    5.21    1.12   804.30   -11.20    -0.50     8.66      91408.0
