omni_omni.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2016  5  6  8  1  0   0    6.93   -7.01   -1.84  -345.13   -26.43   -15.58     6.15     497553.5
 2016  5  6  8  2  0   0    6.38   -7.29   -2.61  -344.51   -24.70   -13.18     6.04     507980.4
 2016  5  6  8  3  0   0    6.69   -6.78   -3.23  -343.89   -22.97   -10.79     5.93     518407.3
 2016  5  6  8  4  0   0    6.09   -8.07   -0.72  -343.27   -21.24    -8.39     5.82     528834.3
 2016  5  6  8  5  0   0    6.19   -7.94   -0.85  -342.65   -19.51    -5.99     5.71     539261.2
 2016  5  6  8  6  0   0    5.88   -8.07   -1.43  -342.04   -17.77    -3.59     5.60     549688.1
 2016  5  6  8  7  0   0    5.52   -8.23    0.29  -341.42   -16.04    -1.20     5.49     560115.0
 2016  5  6  8  8  0   0    5.58   -8.34    1.59  -342.62   -18.39    -3.79     5.51     547184.3
 2016  5  6  8  9  0   0    5.42   -8.48    1.16  -343.82   -20.73    -6.39     5.53     534253.5
 2016  5  6  8 10  0   0    4.96   -8.72    1.28  -345.02   -23.07    -8.98     5.55     521322.7
 2016  5  6  8 11  0   0    4.29   -8.92    1.23  -346.22   -25.41   -11.58     5.57     508391.9
 2016  5  6  8 12  0   0    3.44   -9.38    1.12  -347.42   -27.76   -14.17     5.60     495461.1
 2016  5  6  8 13  0   0    3.81   -9.26    0.90  -348.62   -30.10   -16.77     5.62     482530.4
 2016  5  6  8 14  0   0    4.25   -9.10    0.93  -349.82   -32.44   -19.36     5.64     469599.6
 2016  5  6  8 15  0   0    4.27   -9.00    1.76  -351.02   -34.78   -21.96     5.66     456668.8
 2016  5  6  8 16  0   0    4.61   -8.77    1.57  -352.22   -37.13   -24.55     5.68     443738.0
 2016  5  6  8 17  0   0    6.70   -6.80    3.99  -351.24   -37.39   -24.86     5.79     443302.0
 2016  5  6  8 18  0   0    6.59   -7.34    3.26  -350.25   -37.66   -25.17     5.90     442865.9
 2016  5  6  8 19  0   0    6.13   -7.91    2.53  -349.27   -37.92   -25.48     6.01     442429.9
 2016  5  6  8 20  0   0    5.80   -8.01    1.75  -348.28   -38.19   -25.79     6.12     441993.9
 2016  5  6  8 21  0   0    5.31   -8.45    0.27  -347.30   -38.45   -26.10     6.23     441557.8
 2016  5  6  8 22  0   0    5.66   -7.96    0.40  -346.32   -38.72   -26.41     6.33     441121.8
 2016  5  6  8 23  0   0    5.39   -8.03    0.39  -345.33   -38.98   -26.72     6.44     440685.8
 2016  5  6  8 24  0   0    4.91   -7.59    0.48  -344.35   -39.25   -27.03     6.55     440249.7
 2016  5  6  8 25  0   0    4.39   -7.77   -0.24  -343.36   -39.51   -27.34     6.66     439813.7
 2016  5  6  8 26  0   0    5.25   -7.43   -1.67  -342.38   -39.78   -27.65     6.77     439377.7
 2016  5  6  8 27  0   0    4.58   -7.48   -3.11  -342.81   -39.69   -28.47     6.79     432624.7
 2016  5  6  8 28  0   0    3.38   -8.04   -3.44  -343.24   -39.61   -29.29     6.82     425871.8
 2016  5  6  8 29  0   0    2.95   -8.16   -4.04  -343.68   -39.52   -30.11     6.85     419118.8
 2016  5  6  8 30  0   0    3.10   -7.47   -5.05  -344.11   -39.43   -30.93     6.87     412365.9
 2016  5  6  8 31  0   0    4.16   -6.06   -5.91  -344.54   -39.35   -31.75     6.90     405612.9
 2016  5  6  8 32  0   0    4.15   -5.38   -6.07  -344.97   -39.26   -32.57     6.92     398860.0
 2016  5  6  8 33  0   0    3.99   -3.83   -7.12  -345.40   -39.18   -33.40     6.95     392107.1
 2016  5  6  8 34  0   0    2.97   -5.40   -3.33  -345.84   -39.09   -34.22     6.98     385354.1
 2016  5  6  8 35  0   0    4.97   -4.82   -5.27  -346.27   -39.01   -35.04     7.00     378601.2
 2016  5  6  8 36  0   0    5.06   -4.88   -5.44  -347.26   -39.19   -34.66     7.00     382909.3
 2016  5  6  8 37  0   0    4.19   -5.70   -1.40  -348.24   -39.38   -34.29     7.00     387217.3
 2016  5  6  8 38  0   0    3.02   -5.77    1.49  -349.23   -39.57   -33.91     7.00     391525.4
 2016  5  6  8 39  0   0    2.67   -5.98    1.68  -350.21   -39.75   -33.54     7.00     395833.5
 2016  5  6  8 40  0   0    2.42   -6.73    2.68  -351.20   -39.94   -33.16     7.00     400141.6
 2016  5  6  8 41  0   0    3.00   -8.42    1.81  -352.19   -40.13   -32.78     7.00     404449.7
 2016  5  6  8 42  0   0    3.21   -8.75    1.85  -353.17   -40.31   -32.41     7.00     408757.8
 2016  5  6  8 43  0   0    3.50   -8.48    1.85  -354.16   -40.50   -32.03     7.00     413065.9
 2016  5  6  8 44  0   0    3.48   -8.33    2.19  -355.14   -40.69   -31.66     7.00     417373.9
 2016  5  6  8 45  0   0    3.11   -8.41    2.34  -354.68   -39.85   -31.69     6.94     417001.4
 2016  5  6  8 46  0   0    3.18   -9.23    1.39  -354.22   -39.00   -31.73     6.87     416628.9
 2016  5  6  8 47  0   0    3.53   -9.31    1.09  -353.75   -38.16   -31.76     6.80     416256.4
 2016  5  6  8 48  0   0    3.45   -9.50    0.81  -353.29   -37.32   -31.79     6.74     415883.9
 2016  5  6  8 49  0   0    3.50   -9.38    0.57  -352.82   -36.48   -31.83     6.67     415511.4
 2016  5  6  8 50  0   0    4.03   -9.14    0.65  -352.36   -35.63   -31.86     6.61     415138.9
 2016  5  6  8 51  0   0    4.24   -9.04    0.20  -351.89   -34.79   -31.90     6.54     414766.4
 2016  5  6  8 52  0   0    4.20   -8.91   -0.15  -351.43   -33.95   -31.93     6.47     414393.9
 2016  5  6  8 53  0   0    4.64   -8.79   -0.50  -350.96   -33.11   -31.97     6.41     414021.4
 2016  5  6  8 54  0   0    4.05   -8.03   -0.43  -350.59   -33.35   -31.91     6.37     413743.6
 2016  5  6  8 55  0   0    4.06   -7.64   -0.33  -350.22   -33.59   -31.85     6.34     413465.9
 2016  5  6  8 56  0   0    4.59   -8.09   -0.60  -349.86   -33.82   -31.80     6.31     413188.2
 2016  5  6  8 57  0   0    4.46   -9.28   -0.25  -349.49   -34.06   -31.74     6.27     412910.4
 2016  5  6  8 58  0   0    2.67  -10.03    0.33  -349.12   -34.30   -31.69     6.24     412632.7
 2016  5  6  8 59  0   0    2.36  -10.07    0.01  -348.75   -34.54   -31.63     6.21     412355.0
